data	k	q	l	fill	elements	quotient	tp	fp	fn	precision	recall	fscore
Synthetic	1	2	256	0.10833984375	16	0.00390625	883	0	117	1	0.883	0.9415
Synthetic	2	2	256	0.20540234375	32	0.0078125	882	0	118	1	0.882	0.941
Synthetic	3	2	256	0.29106640625	48	0.01171875	887	0	113	1	0.887	0.9435
Synthetic	4	2	256	0.36626171875	64	0.015625	894	0	106	1	0.894	0.947
Synthetic	5	2	256	0.43369921875	80	0.01953125	897	0	103	1	0.897	0.9485
Synthetic	6	2	256	0.49496484375	96	0.0234375	908	0	92	1	0.908	0.954
Synthetic	7	2	256	0.5494453125	112	0.02734375	916	0	84	1	0.916	0.958
Synthetic	8	2	256	0.597703125	128	0.03125	921	0	79	1	0.921	0.9605
Synthetic	9	2	256	0.64126171875	144	0.03515625	934	0	66	1	0.934	0.967
Synthetic	10	2	256	0.67934765625	160	0.0390625	944	0	56	1	0.944	0.972
Synthetic	11	2	256	0.7132421875	176	0.04296875	952	0	48	1	0.952	0.976
Synthetic	12	2	256	0.744515625	192	0.046875	960	0	40	1	0.96	0.98
Synthetic	13	2	256	0.773140625	208	0.05078125	968	0	32	1	0.968	0.984
Synthetic	14	2	256	0.79806640625	224	0.0546875	982	0	18	1	0.982	0.991
Synthetic	15	2	256	0.81957421875	240	0.05859375	989	0	11	1	0.989	0.9945
Synthetic	16	2	256	0.8392890625	256	0.0625	993	0	7	1	0.993	0.9965
Synthetic	17	2	256	0.85758984375	272	0.06640625	995	72	5	0.932521087160262	0.995	0.963760543580131
Synthetic	18	2	256	0.8729765625	288	0.0703125	999	2117	1	0.320603337612324	0.999	0.659801668806162
Synthetic	19	2	256	0.88622265625	304	0.07421875	999	21192	1	0.0450182506421522	0.999	0.522009125321076
Synthetic	20	2	256	0.8986953125	320	0.078125	999	113448	1	0.00872893129570893	0.999	0.503864465647854
Synthetic	21	2	256	0.9098359375	336	0.08203125	1000	328980	0	0.0030304866961634	1	0.501515243348082
Synthetic	22	2	256	0.9199453125	352	0.0859375	1000	608184	0	0.00164154015863844	1	0.500820770079319
Synthetic	23	2	256	0.92921875	368	0.08984375	1000	829031	0	0.00120477427951486	1	0.500602387139757
Synthetic	24	2	256	0.93687890625	384	0.09375	1000	937848	0	0.00106513514434711	1	0.500532567572174
Synthetic	25	2	256	0.943640625	400	0.09765625	1000	983241	0	0.00101601132243018	1	0.500508005661215
Synthetic	26	2	256	0.94955078125	416	0.1015625	1000	995952	0	0.00100305731870742	1	0.500501528659354
Synthetic	27	2	256	0.95497265625	432	0.10546875	1000	998525	0	0.00100047522573222	1	0.500500237612866
Synthetic	28	2	256	0.96005078125	448	0.109375	1000	998964	0	0.00100003600129605	1	0.500500018000648
Synthetic	29	2	256	0.96421484375	464	0.11328125	1000	998992	0	0.001000008000064	1	0.500500004000032
Synthetic	30	2	256	0.96797265625	480	0.1171875	1000	999000	0	0.001	1	0.5005
